The Downtown

d100 Downtown
1-2    Pharmacy
7   Weird Smell (See Sense & The City - Smells)
8   Remote Assistants
9   Legacy Tech (See Legacy Data)
10  Exotic Pet

d10 Secret
1  Cameras
2  Microphone
3  Privacy Screen
4  Separate Lan
5  Hidden Room
6  Escape Route
7  Custodian AI
8  Weapon Sensor
9  Weapons Cache
10 Hidden Stash

Local Conflict

d10 Conflict Group
1   Street Gang (See Urban Tribes: Street Gangs)
2   Corporate Aristocrat (See Corporate Aristocrats)
3   Fixer Network (See Fixers & Facemen)
4   Netrunner Collective (See Hackers & Slicers)
5   Solo Condotta/Pmc (See Guns For Hire)
6   Criminal Syndicate
7   Drug Dealers
8   Transient Clan
9   Indentured Workers
10  Media Web

d10 Conflict Source
1   Treachery
2   Adultery
3   Fraud or Theft
4   Addiction
5   Ambition
6   Madness
7   Love
8   Folly
9   Paranoia
10  Rivalry

d10 Opposing Group
1   Media Web
2   Indentured Workers
3   Transient Clan
4   Drug Dealers
5   Criminal Syndicate
6   Solo Condotta/PMC (see Guns For Hire)
7   Netrunner Collective (see Hackers & Slicers)
8   Fixer Network (see Fixers & Facemen)
9   Corporate Aristocrat (See Corporate Aristocrats)
10  Street Gang (see Urban Tribes: Street Gangs)

d10 Rivalry
1-5 Within the Same Group
6-10 Different Group 

Area Events

d10 Event
1   Gang Block War (See Urban Tribes: Street Gangs)
2   Corporate Sweep
3   Man-Made Disaster
4   Political Unrest
5   Development/Investment
6   Area Lock Down
7   Police Withdrawal
8   Enhanced Security
9   New Clade Established
10  Mob War

d10 Leading To...
1   Collateral Damage
2   Evictions
3   Diminished Infrastructure
4   Fear
5   Gentrification
6   Rebellion
7   Chaos
8   Curfews
9   Unification/Community Cohesion
10  Rapidly Escalating Fatalities

Alternative Businesses

d10 Business Type
1   3D Printshop
2   AR Designer
3   City-Farm Stack
4   Cyber Support
5   Info Bank
6   Assist Frames
7   Retro Crafts
8   SCOP Franchise
9   Sim Sense
10  Puppet Rental

d10 Quality
1   Mom N Pop
2   Discount
3   Local Loyalty
4   Exclusive
5   Reliable Brand
6   Mass Market
7   Fashionable
8   Luxury Brand
9   High End Luxury
10  Bespoke/Custom

d10 Security
1   None
2   Cameras & Alarm
3   Armed Owner
4   Local Gang
5   Security Guard(s)
6   24 Hour Security
7   Biometrics
8   Drones
9   Guard Animal
10  State-Of-The-Art

d10 Status
1   Start Up
2   Closing Down
3   Struggling
4   Profitable
5   High Demand
6   Haemorrhaging
7   For Sale
8   Franchise
9   Criminal Front
10  Bad Reputation

d10 The Street Finds Its Own Uses For Things
1   Power plant from main battle tank, used as a generator for a squat or shanty
2   Hydroponics rig from scrapped research ship, used to breed modified food-algae
3   Atmosphere recycling taken from orbital work shack, for a sealed environment
4   Automotive industry robotic arms fitted with tasers, utilised for entrance security
5   Chinese banking servers, used as a fixer's offline data archive
6   Shipping container homes, mounted on scaffolding with industrial adhesives
7   Aircraft seating used as makeshift furniture, within parachute nylon shelters
8   Downed corporate surveillance drone, reconfigured to enable secure phone calls
9   Salvaged fast food friers and ovens, co-opted for mass drug production
10  Outmoded clinical CAT scanner, jury-rigged into rudimentary security screen

d10 Urban Sickness (Symptoms - Cause - Malady)
1   Difficulty Breathing - Bad Air/Pollutants/Smoking - Emphysema
2   Lesions/redness/lumps - Jankey UV levels/Toxic rain - Skin Cancer
3   Immunodeficiency - Pollutants/Chemical Soup - Toxic Shock
4   Lethargy/Weight loss - Vitamin Deficiency/Junkfood - Malnutrition
5   Flaky/Spots/Blisters - Pollutants/Chemical Soup - Messed up Skin
6   Hair loss/Discolouration - Pollutants/Chemical Soup - Alopecia
7   Unpleasant Odour - Pollutants/Chemical Soup - BO/Body Funk
8   Vomiting/Diarrhea - Junkfood/Pollutants/Toxins - Gastric Catastrophe
9   Silvery Grey emissions - Nanite Infused Air/rejection - Grey Sweats
10  Red Watery eyes/Painful - Bad Air/Pollutants/Toxins - Burning eyes

d10 Legacy Infrastructure
1   Decommissioned subway tunnel, accessible from building, and vice versa
2   Off site telecoms junction box, once served the local neighborhood
3   Condemned slum quarantined with concrete seal, or biohazard containment zone
4   Interconnected basements and foundation voids, poorly secured
5   Sealed sub-basement parking for previous building, with still functioning elevator
6   Forgotten floor following remodelling work, accessible through crawl space
7   Disused loading or maintenance bay, with hidden goods elevator
8   Undocumented Cold War bomb shelter or bunker network
9   Exposed air venting system, leading to moth-balled sub-basement laboratory
10  Unused utilities still feed into buildings, accessible from empty sewerage system

d10 Legacy Data
1   Obsolete, reformatted data vault, deep underground, poor information hygiene
2   Hard drive archive in the roof space, or located off site in purpose built library
3   Zero Day exploit via overlooked archeonet (the earlier website; uses an old OS)
4   Cloud account, covertly syncing data from devices in it's proximity
5   Ancient dial-up modem, still linked to the network, acts as possible back door
6   Web cameras on unused computers, still accessible via the net
7   Unauthorised porn or gaming account, log in still active, possible exploit
8   Previously defeated hacking attempt left old code gate decrypted and open
9   Networked but obsolete peripherals remain powered on and in standby mode
10  Partially de-rezzed AI 'ghost' haunts the network and is, by now, quite insane

Nightlife

d10 Bar or Club
1   Below Zero
2   Dubculture
3   The Danceteria
4   Club Synapse
5   Atrocity
6   Storm
7   The Dispensary
8   Ryumi's
9   The Black Room
10  The Flesh Café

d10 Status
1   New Owner(s)
2   Closing Down
3   Drug Problem
4   Violence Problem
5   Criminal Owned
6   Bad Reputation
7   Student Crowd
8   Under Surveillance
9   War Zone
10  Best Bands/DJs

d10 Security
1   None
2   Cameras & Alarm
3   Armed Owner
4   Local Gang
5   Armed Bouncers
6   24 Hour Security
7   Hired Thugs
8   Weapon Scanners
9   Cyborg Bouncers
10  State-Of-The-Art

d10 Vibe
1   Total Dive
2   Atmospheric
3   Gang Turf
4   Fashionable
5   Permaparty
6   Sleazy
7   Quiet
8   Franchise
9   Popular
10  Exclusive

Sense & The City

d100 Smells
1   Cigarette Smoke
2   Cheap Perfume
3   Expensive Cologne
4   Exhaust Fumes
5   Stale Refuse
6   Urine
7   Vomit
8   Burning Plastic
9   Ash
10  Acrid Chemicals
11  Cordite
12  Blood
13  Wet Hair
14  Motor Oil
15  Faeces
16  Soda Pop Sweetness
17  Noodles
18  Rubber
19  Burnt Meat
20  Dirty Sneakers
21  Fried Food
22  Beer
23  Perfumed Bleach
24  Body Odour
25  Varnish
26  Insecticide
27  Soap
28  Sulphur
29  Hairspray
30  Printed Polyamides
31  Hydraulic Fluid
32  Coffee
33  Resin
34  Antiseptic
35  Candy
36  Mint
37  Salt
38  Tea
39  Fresh Sweat
40  Infected Tissue
41  Paint
42  Mold & Mildew
43  Baby Powder
44  Acid
45  Feet
46  Cinnamon
47  Leather
48  Lemon Zest
49  Damp
50  Rot
51  Overheated Circuit Board
52  Cigars
53  Floral Scent
54  Pizza
55  Spices
56  Lavender
57  Sewage
58  Pine
59  Crack Cocaine
60  Cat Piss
61  Gas
62  Latex
63  French Fries
64  New Cyberlimb Smell
65  Sex
66  Menthol
67  Cheese
68  Wet Concrete
69  Disinfectant
70  Polythene
71  Nail Varnish
72  Whiskey
73  Coconut Oil
74  Vinyl
75  Wine
76  Acetone
77  Cookies
78  Ammonia
79  Biodiesel
80  Polish
81  Printer Toner
82  Dust
83  Glasscleaner
84  Musty
85  Opiates
86  Raw Meat
87  Laminate
88  Weed/Skunk
89  Drains
90  Thinners
91  Old Food
92  Incense
93  Fused Wiring
94  Lube
95  Sour Milk
96  Garlic
97  Alcohol Sanitiser
98  Cheap Aftershave
99  Gun Oil
100 Roll Twice

d100 Sounds
1   Building Alarm
2   Barking Dogs
3   Incoherent Shouting
4   A Single Gunshot
5   Ventilation System
6   Car Doors Slamming
7   Loud Television
8   Children
9   Aerocar Overhead
10  Catchy Corporate Jingle
11  The Screech Of Tires
12  Pedestrian Crosswalk
13  Rattle Cans In Use
14  Heavy Gunfire
15  Sobbing
16  Channeled Winds
17  Hum Of A Cleaning 'Bot
18  Buzzing Of Flies
19  Rattle Of Chains
20  Arcade Machines
21  Breaking Glass
22  Text Alert
23  An Rpg Launching
24  Sirens Inbound
25  Running
26  Subway Rumble
27  A Loud Argument
28  Drill or Power Saw
29  Road Traffic Accident
30  Hellfire Street Preacher
31  Loud Energetic Music
32  Laughter
33  Hydraulics
34  A Reversing Vehicle
35  An Annoying Ringtone
36  Sexual Activity
37  Police Radio Chatter
38  Loose Door or Gate
39  Group Chanting
40  Popular Theme Tune
41  Chesty Coughing
42  Vehicle Alarm
43  Steady Footsteps
44  Automated Warning
45  Beating Of Heavy Rain
46  Garbled Loudspeaker
47  Exchange Of Gunfire
48  Background 'Muzak'
49  Gutteral Screaming
50  A Call To Prayer
51  Loose Piping
52  Helicopter Overhead
53  The Buzz Of Neon
54  A Revving Engine
55  An Impromptu Rave
56  Water Pump
57  Road Works
58  Right Wing Talk Radio
59  Foreign Busker
60  Ice Cream Truck
61  Distant Explosion
62  Car Horn
63  UAV/Drone Motor
64  Tumbling Trash Cans
65  Evangelical Broadcast
66  Very Heavy Transport
67  Running Water
68  Drunk Singing
69  Skateboards
70  Tattoo Gun
71  Rolling Cans
72  Obvious Porno
73  Riot or Demo
74  Overhead Train
75  Cats Fighting
76  Shrill Whistling
77  Bug Zapper
78  Street Hawker
79  Car Chase
80  Chilling War Cry
81  Motorcycles
82  Crackle Of Flames
83  Door Buzzer
84  An Anguished Cry
85  Sneaker Squeak
86  Scraping Metal
87  Splashing
88  Noisy Printer
89  Laser Fire
90  Jingle Of Keys
91  Quiet Conversation
92  Sirens Outbound
93  Aerocar Landing
94  Frying Food
95  A Brawl
96  Doors Slamming
97  Ads (See Sights)
98  Thunder
99  Hissing White Noise
100 Roll Twice

d100 Sights
1-2    Armoured cops bundle violently reluctant vagrant into ERA-plated squad car
3-4    A bus shelter made entirely of screens showing flashy commercials (see What's On That Big Screen)
5-6    Searchlights playing across the cloud cover and projecting branding (see What's On That Big Screen)
7-8    A brightly lit aerocab taking off in a cloud of exhaust fumes, rainwater and trash
9-10   AC vents in the sidewalk emitting a thick cloud of vapour
10-11  A heavy rainwater cascade falls from damaged guttering
11-12  Every underlit face on the street is concentrating solely on their phone
13-14  An ancient looking geriatric lopes past strapped into a linear assistance frame
15-16  A vid-blogger in full, wearable array, blatantly recording the scene
17-18  The nearest building has an intermittently flickering security light
19-20  Your view is blocked by a lumbering hi-vis recycling collection truck
21-22  A cluster of kids vaping, LED-lit clouds from under designer pollution hoods
23-24  A pair of bicycle couriers race one another through crawling traffic
25-26  Gritty, chemical infused sediment sloughing off a nearby rooftop
27-28  A large building-mounted flatscreen showing... (see What's On That Big Screen)
29-30  Unattended roadworks, the area coned off and lit for safety for no good reason
31-32  An automated noodle vending truck, jingle playing, folds open and deploys nearby
33-34  A flock of scabrous-looking pigeons suddenly taking flight
35-36  A busy metro platform, full to capacity with disgruntled, rain-soaked commuters
37-38  An abandoned cybernetic limb lies forlornly by the kerb
39-40  Animated street art that twists and turns across two adjoining walls
41-42  Frantic homeless people, washing vehicle windscreens before the lights change
43-44  The flashing orange lights of a fat, dirty-yellow street sweeping remote
45-46  A nearby dataterm is missing it's screen and is stuffed with trash
47-48  Your way is barred by a precarious heap of obsolete electronics
49-50  The rainbow incandescence of oil on a large puddle of dirty water
51-52  The substandard cheapcrete is pockmarked by years of corrosive rains
53-54  A loaded pizza delivery drone hovering about three meters above the ground
55-56  A wage-slave arguing with her phone's onboard AI, before breaking down crying
57-58  An orange, multi-limbed, window cleaning remote clambers up the building facade
59-60  A long, silent queue for a blocky, exhaust stained, kerb-side euthanasia Booth™
61-62  All the nearby street signs are gang-tagged over to the point of being useless
63-64  Filthy red and white plastic Jersey barriers block most of the sidewalk
65-66  An overpass or skywalk covered in colourful advertising animatics (see That's Infotainment)
67-68  There are crowds of fast moving people swarming absolutely everywhere
69-70  The scorched shell of a gutted vid-phone kiosk
71-72  Pedestrians flooding across the nearest intersection, en masse, both ways
73-74  A group of screeching street kids running along the overhead rail lines
75-76  A thick pea soup fog rolling down the streets and alleyways
77-78  All the street lights for this entire block just went out
79-80  Rivers of rain-borne trash race along in the choked gutters
81-82  A small crowd of people gawping upwards at a potential jumper
83-84  A tight formation of drones races down the street, just above head height
85-86  A group of sex workers on a nearby street corner, approaching cars (see Street Walkers)
87-88  An out-of-order ATM threatens violent action to passers by who stray too close
89-90  Unnervingly, there is absolutely no-one about
91-92  A pedicab operator struggling with heat exhaustion or dehydration (see Random Cabbies)
93-94  A row of vendomats coated in layers of gang tags, going back many years
95-96  A GeV taxi takes a corner hard, throwing up polluted water, trash and crud (see Random Cabbies)
97-98  An energetic street preacher giving a digital presentation on Cybernetic Jesus®
99-100 The sidewalk consists of slabs of flickering screens, showing adverts (see That's Infotainment)

Big Screens & Infotainment

d10 What's On That Big Screen?
1   Video gaming event
2   Highlights from major sporting event
3   System error message/connection failure
4   The time and date
5   The latest news headlines and lottery result
6   Infomercial/Advertainment (see That's Infotainment)
7   The weather forecast/air quality statistics
8   Pornography (hacked and then squirtcast?)
9   Music videos or movie trailers
10  Traffic information

That's Infotainment

d10    Brand Name
1      Nologo
2      Matsushira
3      Al Emaar
4      Horizon
5      De Santo
6      Ellis-Itami
7      Osprey
8      Numan-Lloyd
9      Modus
10     Cortex

d10    Range
1      Phoenix
2      Omni
3      Aex
4      Luxuria
5      Solaris
6      Rapide
7      Hydra
8      Eco+
9      Nexus
10     Platina

d10    Product Line
1      Cyber/Bio/Nanoware
2      Car/Motorcycle/Av
3      Foodstuff/Drink
4      Clothing/Lifestyle
5      Personal Service
6      Computing/Comms
7      Personal Defense
8      Pharmaceuticals
9      Cosmetics/Scent
10     Travel/Vacation

d10    Marketing Style
1      Loud Hard Sell
2      Cartoony/Manga
3      Sexualised
4      Sophisticated
5      Abstract
6      Humorous
7      Gender Specific
8      Cheap
9      Exotic/Arty
10     Aspirational

Vehicles & Features

d100 What's On The Road
1-2    Armoured Intercity Bus
3-4    Carbon-Fibre Pedicab (See Random Cabbies)
5-6    Gevtaxi (Air Cushion) (See Random Cabbies)
7-8    Automated Uber/Aitaxi Sedan
9-10   Food/SCOP Vending Truck
11-12  Cyclist(s)
13-14  Police Patrol Car
15-16  Small City Electric
17-18  Limousine
19-20  Sports Car
21-22  HMMWV (Humvee)
23-24  Suburban Utility Vehicle (SUV)
25-26  Estate Car/Stationwagon
27-28  Moped/Scooter
29-30  4x4/Mrap
31-32  Very Heavy Goods Vehicle
33-34  Armoured Truck
35-36  Police Van
37-38  Sports Motorcycle
39-40  Utility Van/Minivan
41-42  Refrigerated Transport
43-44  Off Road Motorcycle
45-46  Flatbed/Pick-Up
47-48  Tram/Metro-Train
49-50  Hatchback
51-52  Classic Car
53-54  Aero Using Road Wheels
55-56  Luxury Sedan
57-58  Monowheel
59-60  Hazardous Container Truck
61-62  Three-Wheeler
63-64  Waste Management Truck
65-66  Automated Road Sweeper
67-68  Police Motorcycle
69-70  Courier/Delivery Van
71-72  Scrap Built Rickshaw (See Random Cabbies)
73-74  Standard Sedan
75-76  Mobile Home/Rv/Mopad
77-78  Muscle Car/Roadster
79-80  Construction Vehicle
81-82  Fire Tender
83-84  Buggy/Atv
85-86  Powered Armour Rickshaw (Cradle)
87-88  EMT/Paramedic/Ambulance
89-90  Armoured Personnel Carrier
91-92  Quad Bike
93-94  Tow Truck (Roll Again For Tow)
95-96  Car/Vehicle/Pa Transporter
97-98  Regular City Bus (1-3 Decks)
99-100 Trike

Added Features

d10 Activity
1      Speeding
2      Braking Hard
3      Parking
4      Pulling Into Traffic
5      Overtaking
6      Break Down
7      Crawling
8      Collides With...
9      U-Turn
10     Reversing

d10 Notable Feature
1      Extremely Loud Music
2      Biodiesel Conversion
3      Runs Silent
4      Religious Iconography
5      Too Many Passengers
6      Polymorphic Coating
7      Overloaded With Cargo
8      Excessive Bumper Stickers
9      Low Rider
10     Off Road Tires

d10 Condition
1      More Dirt Than Paint
2      Factory Fresh
3      Rust Bucket
4      Held Together By Epoxy
5      Well Maintained
6      Partial Respray
7      Mobile Trashcan
8      Burned Out Engine
9      Dents and Scratches
10     Overtly Armoured

What's In The Sky?

d10 Vehicle
1   Luxury Aero/Limo
2   Utility Aero Transport
3   Aerobus/Aerocab (See Random Cabbies)
4   Helicopter/Tilt-Rotor
5   Ad Blimp (See What's On That Big Screen)
6   Gunship (Aero or Chopper)
7   Drone Cluster/UAV
8   Police Aero
9   Aero Sedan
10  EMT/Paramedic Aero

d10 Vehicle Is Currently...
1   Banking
2   Descending
3   Ascending
4   Hovering
5   Circling
6   Speeding or In Pursuit (Roll Again)
7   Cruising
8   Weaving
9   Overtaking
10  Clipping (Roll Again For What Is Hit)

d10 What's On The River?
1   A long, thin, high-powered speedboat ('cigarette' boat) races past
2   An air-cushion taxi GeV (Ground effect Vehicle), slips down to the water (see Random Cabbies)
3   A garishly illuminated party boat, packed with revellers, loud music (see Sonic Youth)
4   A quiet and unassuming modern houseboat, moored to the embankment
5   An improvised submersible surfaces, seemingly lost, crew appear to be armed
6   An automated cargo transport barge, weaving through traffic using GPS
7   Clusters of detritus, plastics and thick yellow foam float on the oily surface
8   Clearly marked security hydrofoil, slowly patrolling, hMGs and searchlights
9   Rescue Service tug, hi-vis wearing crew dredging bloated bodies from the water
10  A local go-gang has 'upgraded' to tricked-out jet skis and are causing havoc

d10 Augmented Reality (Type - Aesthetic - Image Style)
1   Direction - Typographic Overlays - Crisp/Bright
2   Logo Storm - Bright and Garish Glyphs - Animated 3-D
3   Assistant - Animated Persona - high resolution
4   Blipvert - See That's Infotainment
5   Political - Emotive Imagery - Sophisticated
6   Promotion* - Rapid Motion/Distracting - Cheap/low resolution
7   Advice - Reassuring Infomemes - Clear, Yet Subtle
8   Menu System - Unobtrusive and Integrated - Technical/Sci-fi
9   Filter - Fantastical and Otherworldly - Surreal/Immersive/Arty
10  Prohibition - Bold/Dramatic/Authorative - Flat Vector Graphics

The Instacitizen

d100 The Instacitizen
1-2   Lounge or Bar Manager
3-4   Bouncer or Private Security
5     Aero Pilot
6     Researcher or Data Analyst
7-9   Street Gang Thug (See Urban Tribes: Street Gangs)
10    Lab Worker
11-12 Street Kid(s)
13-14 Gambler or Con Artist
15    Uber or Limo Driver
16-18 Fixer (See Fixers & Facemen)
19-20 Designer
21    Pimp
22-24 Corporate Worker
25-26 Sex Worker or Puppet (See Street Walkers)
27    Celeb
28-29 City Beat Cop
30    Company Exec
31-34 Drone Wrangler or Remote Operator
35-36 Service Staff or Store Worker
37-38 Freelance Media
39-40 Thief or Fence
41-43 Hacker (See Hackers & Slicers)
44-45 Military Veteran
46-47 Syndicate Footsoldier
48-49 Smuggler
50    Bounty Hunter
51-52 Cabbie (See Random Cabbies)
53-54 Homeless Person
55-57 Drug Dealer
58    Street Gang Boss (See Urban Tribes: Street Gangs)
59    City Inspector or Auditor
60    Syndicate Boss
61-62 Techie
63-67 Unemployed (Increased Leisure Citizen)
68-70 Corporate Soldier
71    Bioware Tech
72-74 Factory Worker
75-76 Scavenger
77-78 Corporate Agent
79-80 Doctor or Street Medic
81-83 Detective
84-85 Online BusIness Person
86-87 Store Manager
88-89 Solo or Mercenary (See Guns For Hire)
90    Killer or Psycho
91-92 Transport Worker
93-94 Aristocrat or Independently Wealthy
95    Refuse or Recyc Worker
96    Psych Evaluator
97-98 Emergency Worker (EMT, Nurse, Paramedic, Fire Fighter)
99    Government Agent
100   Scientist

d10 First Impressions? Table 1
1   Painfully thin, chain smokes
2   Athletic and wiry, huffing fast food
3   Bulky, obsolete cyberaudio 'domes'
4   Bleeding gums, bloodshot eyes
5   Sad looking, distracted by cell phone
6   Many interface plugs, tattooed labels
7   Doughy and unhealthy looking
8   Confident, highly polished, vinyl coat
9   Sophisticated, manipulative
10  Cold and predatory demeanour

d10 First Impressions? Table 2
1   Pale and sullen, pleasingly stylish
2   Business like, gum chewer, sniffs
3   Square face, with small, darting eyes
4   Ill fitting clothes and bad teeth
5   Pair of skinny plastic cyber arms
6   Garish pink jaw, yellow acrylic teeth
7   Rugged, practical and outdoorsy
8   Substandard gender reassignment
9   Prominent implant branding
10  Dreadlocks, worn leather coat

d10 First Impressions? Table 3
1   Seems eerily artificial, very attractive
2   Unintelligent, aggressive, pock marks
3   Mismatched optics, black turtle neck
4   Overweight and dirty, layered cloths
5   Engorged musculature due to grafts
6   Furtive and on edge, unkempt, tattoos
7   Misshapen by heavy augmentation
8   Narcotic haze, fidgety hands, shabby
9   Loud, camp, and showy, anaemic
10  Weary, apathetic, animated clothing

d10 First Impressions? Table 4
1   Acts deaf but isn't, knows people
2   Boxy e-cig, coat/hoodie, mirrorshades
3   Shy and apologetic, rubber raincoat
4   Oily skin, constantly checks watch
5   Oddball dress sense, way too literal
6   Long hair, metal fan in downtime
7   Trashy, overtly sexual, self-loathing
8   Overclocked nervous system, sweats
9   Conservative, business-like
10  Toned, adjusts latest style clothes

d10 First Impressions? Table 5
1   Obvious cosmetic surgeries
2   White enamel cyberlimb; expensive
3   Gangsta bling, lisps, friendly
4   Permanent plastic rictus grin
5   Highly strung, with overly long fingers
6   Pushed for time, bulky backpack
7   Poorly groomed, with a raspy voice
8   Focussed on AR, poor listener
9   Workwear under overcoat, nods sagely
10  Thick foreign accent, glowing optics

Random Cabbies

d100 Gender
1-50   Female
51-100 Male

d100   Appearance
1-2    Armoured up
3-4    Unwashed
5-6    Chain smoker
7-8    Goggles & tech
9-10   Fat, eating junk
11-12  Looks exhausted
13-14  Sick & shaking*
15-16  Fresh implant(s)
17-18  Well groomed
19-20  Way too young
21-22  Pock-marked
23-24  Half-starved
25-26  Heavily tattooed
27-28  Charms & symbols
29-30  Army fatigues
31-32  Fully cyborged
33-34  Hardwired in
35-36  Shiny fetishwear
37-38  Tribal scarring
39-40  Oversized optics
41-42  Chromed teeth
43-44  Slick with sweat
45-46  Atrophied limb
47-48  Twitches
49-50  Polythene coverall
51-52  Layered T-shirts
53-54  Four handguns
55-56  Excessive vaping
57-58  Filthy baseball cap
59-60  Scruffy looking
61-62  Facial burn scars
63-64  Constant texting
65-66  Designer coat
67-68  HuD Visor
69-70  Respirator
71-72  Mirrorshades
73-74  Slab-headed
75-76  Surplus flight suit
77-78  Geriatric
79-80  Creaking leathers
81-82  Jury-rigged IV drip
83-84  Bright blue hair
85-86  Bullet earrings
87-88  Wearable cameras
89-90  Autoshotgun
91-92  Has no legs
93-94  Alopecia
95-96  Thin cyberarms
97-98  Aviator glasses
99-100 Pale green optics

d100   Nationality
1-2    Russian
3-4    Jamaican
5-6    French
7-8    Sikh Indian
9-10   Libyan
11-12  Nigerian
